Problem;MCTS 1;MCDS 1;MCDSn2 1;Simple
Hanoi(3,2);0.015517234802246094;0.011605978012084961;0.01754617691040039;0.01321721076965332
Hanoi(3,3);0.3369121551513672;0.3305191993713379;0.30435705184936523;0.013086557388305664
Hanoi(3,4);SO;SO;SO;0.013750553131103516
Hanoi(3,5);SO;SO;SO;0.014569997787475586
Hanoi(3,6);SO;SO;SO;0.025908946990966797
Hanoi(3,7);SO;SO;SO;0.06168770790100098
Hanoi(3,8);SO;SO;SO;0.1945950984954834
Hanoi(3,9);SO;SO;SO;0.7880134582519531
Hanoi(3,10);SO;SO;SO;2.465703248977661
Hanoi(3,11);SO;SO;SO;7.43536376953125
